market,symbol,stock_name,industry_code,industry_name,industry_level,source,is_primary
CN,000505,京粮控股,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000592,平潭发展,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000702,正虹科技,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000713,国投丰乐,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000735,罗牛山,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000798,中水渔业,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000876,新希望,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000911,*ST广糖,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000930,中粮科技,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000972,*ST中基,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,000998,隆平高科,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,001201,东瑞股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002041,登海种业,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002069,獐子岛,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002100,天康生物,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002124,天邦食品,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002157,正邦科技,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002234,民和股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002286,保龄宝,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002299,圣农发展,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002311,海大集团,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002321,华英农业,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002385,大北农,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002458,益生股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002481,双塔食品,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002548,金新农,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002556,辉隆股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002567,唐人神,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002679,福建金森,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002688,金河生物,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002714,牧原股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002746,仙坛股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002772,众兴菌业,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002852,道道全,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002868,绿康生化,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002891,中宠股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,002982,湘佳股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,003030,祖名股份,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,300021,大禹节水,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,300087,荃银高科,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,300094,国联水产,801010,农林牧渔,1,sw_2021_swsresearch,true
CN,300119,瑞普生物,801010,农林牧渔,1,sw_2021_swsresearch,true
